patternlen,textlen,cmp,timetaken
15,845,105,0
11,873,110,0
18,903,77,0
23,933,107,0
24,962,116,0
13,989,131,0
23,1016,82,0
22,1044,94,0
11,1071,157,0
20,1099,88,0
15,1128,115,0
15,1157,122,0
13,1187,139,0
25,1217,109,0
21,1245,224,0
15,1275,138,0
31,1304,81,0
23,1332,108,0
15,1361,141,0
17,1390,155,0
16,1420,162,0
7,1450,327,0
10,1478,235,0
29,1504,119,0
17,1533,170,0
19,1560,174,0
12,1587,232,0
11,1616,203,0
13,1645,218,0
24,1675,193,0
